season,episode,episode_name,character,num_speaking_parts,num_words
1,1,Pilot,Angela,1,7
1,1,Pilot,Dwight,29,165
1,1,Pilot,Jan,12,92
1,1,Pilot,Jim,36,169
1,1,Pilot,Kevin,1,4
1,1,Pilot,Man,1,5
1,1,Pilot,Michael,81,519
1,1,Pilot,Michel,1,1
1,1,Pilot,Oscar,3,21
1,1,Pilot,Pam,40,163
1,1,Pilot,Phyllis,2,6
1,1,Pilot,Roy,5,28
1,1,Pilot,Ryan,8,48
1,1,Pilot,Stanley,5,28
1,1,Pilot,Todd Packer,3,23
1,2,Diversity Day,Angela,4,4
1,2,Diversity Day,Dwight,17,106
1,2,Diversity Day,Jim,24,160
1,2,Diversity Day,Kelly,2,9
1,2,Diversity Day,Kevin,8,53
1,2,Diversity Day,Michael,75,491
1,2,Diversity Day,Mr. Brown,36,204
1,2,Diversity Day,Oscar,13,57
1,2,Diversity Day,Pam,12,54
1,2,Diversity Day,Ryan,4,29
1,2,Diversity Day,Stanley,5,19
1,2,Diversity Day,Toby,2,16
1,3,Health Care,Angela,5,21
1,3,Health Care,Dwight,62,319
1,3,Health Care,Jan,18,96
1,3,Health Care,Jim,42,171
1,3,Health Care,Kevin,6,29
1,3,Health Care,Man on Phone,3,25
1,3,Health Care,Meredith,3,28
1,3,Health Care,Michael,56,391
1,3,Health Care,Oscar,9,38
1,3,Health Care,Pam,32,124
1,3,Health Care,Ryan,1,9
1,3,Health Care,Stanley,6,35
1,3,Health Care,Travel Agent,1,22
1,4,The Alliance,Angela,7,29
1,4,The Alliance,Dwight,47,250
1,4,The Alliance,Everybody,5,11
1,4,The Alliance,Jim,49,257
1,4,The Alliance,Kevin,3,6
1,4,The Alliance,Meredith,10,61
1,4,The Alliance,Michael,68,435
1,4,The Alliance,Oscar,14,69
1,4,The Alliance,Pam,22,134
1,4,The Alliance,Phyllis,5,36
1,4,The Alliance,Roy,3,23
1,4,The Alliance,Ryan,4,11
1,4,The Alliance,Stanley,2,9
1,4,The Alliance,Toby,4,13
1,5,Basketball,Angela,3,25
1,5,Basketball,Darryl,15,70
1,5,Basketball,Dwight,25,74
1,5,Basketball,Everybody,1,1
1,5,Basketball,Jim,21,133
1,5,Basketball,Kevin,1,7
1,5,Basketball,Lonny,5,25
1,5,Basketball,Madge,3,13
1,5,Basketball,Michael,104,496
1,5,Basketball,Oscar,2,16
1,5,Basketball,Pam,14,96
1,5,Basketball,Phyllis,4,25
1,5,Basketball,Roy,12,58
1,5,Basketball,Ryan,8,30
1,5,Basketball,Stanley,3,10
