season,episode,episode_name,director
1,1,Pilot,Ken Kwapis
1,2,Diversity Day,Ken Kwapis
1,3,Health Care,Ken Whittingham
1,4,The Alliance,Bryan Gordon
1,5,Basketball,Greg Daniels
1,6,Hot Girl,Amy Heckerling
2,1,The Dundies,Greg Daniels
2,2,Sexual Harassment,Ken Kwapis
2,3,Office Olympics,Paul Feig
2,4,The Fire,Ken Kwapis
2,5,Halloween,Paul Feig
2,6,The Fight,Ken Kwapis
2,7,The Client,Greg Daneils
2,8,Performance Review,Paul Feig
2,9,E-Mail Surveilance,Paul Feig
2,10,Christmas Party,Charles McDougall
2,11,Booze Cruise,Ken Kwapis
2,12,The Injury,Bryan Gordon
2,13,The Secret,Dennie Gordon
2,14,The Carpet,Victor Nelli Jr.
2,15,Boys & Girls,Dennie Gordon
2,16,Valentine's Day,Greg Daniels
2,17,Dwight's Speech,Charles McDougal
2,18,Take Your Daughter to Work Day,Victor Nelli Jr.
2,19,Michael's Birthday,Ken Wittingham
2,20,Drug Testing,Greg Daniels
2,21,Conflict Resolution,Greg Daniels
2,22,Casino Night,Greg Daniels
3,1,Gay Witch Hunt,Ken Kwapis
3,2,The Convention,Ken Whittingham
3,3,The Coup,Greg Daniels
3,4,Grief Counseling,Roger Nygard
3,5,Initiation,Randall Einhorn
3,6,Diwali,Miguel Arteta
3,7,Branch Closing,Tucker Gates
3,8,The Merger,Ken Whittingham
3,9,The Convict,Jeffrey Blitz
3,10,A Benihana Christmas (Parts 1&2),Harold Ramis
3,12,Back from Vacation,Julian Farino
3,13,Traveling Salesmen,Greg Daniels
3,14,The Return,Greg Daniels
3,15,Ben Franklin,Randall Einhorn
3,16,Phyllis' Wedding,Ken Whittingham
3,17,Business School,Joss Whedon
3,18,Cocktails,J.J. Abrams
3,19,The Negotiation,Jeffrey Blitz
3,20,Safety Training,Harold Ramis
3,21,Product Recall,Randall Einhorn
3,22,Women's Appreciation,Tucker Gates
3,23,Beach Games,Harold Ramis
3,24,The Job (Parts 1&2),Ken Kwapis
4,1,Fun Run (Parts 1&2),Greg Daniels
4,3,Dunder Mifflin Infinity (Parts 1&2),Craig Zisk
4,5,Launch Party (Parts 1&2),Ken Whittingham
4,7,Money (Parts 1&2),Paul Lieerstein
4,9,Local Ad,Jason Reitman
4,10,Branch Wars,Joss Whedon
4,11,Survivor Man,Paul Feig
4,12,The Deposition,Julian Farino
4,13,Dinner Party,Paul Feig
4,14,Chair Model,Jeffrey Blitz
4,15,Night Out,Ken Whittingham
4,16,Did I Stutter?,Randall Einhorn
4,17,Job Fair,Tucker Gates
4,18,"Goodbye, Toby (Parts 1&2)",Paul Feig
5,1,Weight Loss (Parts 1&2),Paul Feig
5,3,Business Ethics,Jeffrey Blitz
5,4,Baby Shower,Greg Daniels
5,5,Crime Aid,Jennifer Celotta
5,6,Employee Transfer,David Rogers
