season,episode,episode_name,imdb_rating,air_date
1,1,Pilot,7.6,2005-03-24
1,2,Diversity Day,8.3,2005-03-29
1,3,Health Care,7.9,2005-04-05
1,4,The Alliance,8.1,2005-04-12
1,5,Basketball,8.4,2005-04-19
1,6,Hot Girl,7.8,2005-04-26
2,1,The Dundies,8.7,2005-09-20
2,2,Sexual Harassment,8.2,2005-09-27
2,3,Office Olympics,8.4,2005-10-04
2,4,The Fire,8.4,2005-10-11
2,5,Halloween,8.2,2005-10-18
2,6,The Fight,8.2,2005-11-01
2,7,The Client,8.6,2005-11-08
2,8,Performance Review,8.2,2005-11-15
2,9,E-Mail Surveilance,8.4,2005-11-22
2,10,Christmas Party,8.8,2005-12-06
2,11,Booze Cruise,8.6,2006-01-05
2,12,The Injury,9,2006-01-12
2,13,The Secret,8.3,2006-01-19
2,14,The Carpet,7.9,2006-01-26
2,15,Boys & Girls,8.2,2006-02-02
2,16,Valentine's Day,8.3,2006-02-09
2,17,Dwight's Speech,8.4,2006-03-02
2,18,Take Your Daughter to Work Day,8.3,2006-03-16
2,19,Michael's Birthday,8.1,2006-03-30
2,20,Drug Testing,8.4,2006-04-27
2,21,Conflict Resolution,8.7,2006-05-04
2,22,Casino Night,9.3,2006-05-11
3,1,Gay Witch Hunt,8.9,2006-09-21
3,2,The Convention,8.2,2006-09-28
3,3,The Coup,8.5,2006-10-05
3,4,Grief Counseling,8,2006-10-12
3,5,Initiation,8.2,2006-10-19
3,6,Diwali,8,2006-11-02
3,7,Branch Closing,8.5,2006-11-09
3,8,The Merger,8.7,2006-11-16
3,9,The Convict,8.2,2006-11-30
3,10,A Benihana Christmas (Parts 1&2),8.7,2006-12-14
3,12,Back from Vacation,8.5,2007-01-04
3,13,Traveling Salesmen,8.6,2007-01-11
3,14,The Return,8.8,2007-01-18
3,15,Ben Franklin,8.2,2007-02-01
3,16,Phyllis' Wedding,8.3,2007-02-08
3,17,Business School,8.8,2007-02-15
3,18,Cocktails,8.5,2007-02-22
3,19,The Negotiation,8.9,2007-04-05
3,20,Safety Training,8.8,2007-04-12
3,21,Product Recall,8.7,2007-04-26
3,22,Women's Appreciation,8.8,2007-05-03
3,23,Beach Games,9.1,2007-05-10
3,24,The Job (Parts 1&2),9.3,2007-05-17
4,1,Fun Run (Parts 1&2),8.8,2007-09-27
4,3,Dunder Mifflin Infinity (Parts 1&2),8.4,2007-10-04
