season,episode,episode_name,writer
1,1,Pilot,Ricky Gervais
1,1,Pilot,Stephen Merchant
1,1,Pilot,Greg Daniels
3,13,Traveling Salesmen,Michael Schur
3,13,Traveling Salesmen,Lee Eisenberg
3,13,Traveling Salesmen,Gene Stupnitsky
3,14,The Return,Lee Eisenberg
3,14,The Return,Gene Stupnitsky
3,14,The Return,Michael Schur
1,2,Diversity Day,B.J. Novak
1,3,Health Care,Paul Lieberstein
1,4,The Alliance,Michael Schur
1,5,Basketball,Greg Daniels
1,6,Hot Girl,Mindy Kaling
2,1,The Dundies,Mindy Kaling
2,2,Sexual Harassment,B.J. Novak
2,3,Office Olympics,Michael Schur
2,4,The Fire,B.J. Novak
2,5,Halloween,Greg Daniels
2,7,The Client,Paul Lieberstein
2,8,Performance Review,Larry Willmore
2,9,E-Mail Surveilance,Jennifer Celotta
2,10,Christmas Party,Michael Schur
2,11,Booze Cruise,Greg Daniels
2,12,The Injury,Mindy Kaling
2,14,The Carpet,Paul Lieberstein
2,15,Boys & Girls,B.J. Novak
2,16,Valentine's Day,Michael Schur
2,17,Dwight's Speech,Paul Lieberstein
2,18,Take Your Daughter to Work Day,Mindy Kaling
2,20,Drug Testing,Jennifer Celotta
2,21,Conflict Resolution,Greg Daniels
2,22,Casino Night,Steve Carell
3,1,Gay Witch Hunt,Greg Daniels
3,3,The Coup,Paul Lieberstein
3,4,Grief Counseling,Jennifer Celotta
3,5,Initiation,B.J. Novak
3,6,Diwali,Mindy Kaling
3,7,Branch Closing,Michael Schur
3,8,The Merger,Brent Forrester
3,10,A Benihana Christmas (Parts 1&2),Jennifer Celotta
3,12,Back from Vacation,Justin Spitzer
3,15,Ben Franklin,Mindy Kaling
3,16,Phyllis' Wedding,Caroline Williams
3,17,Business School,Brent Forrester
3,18,Cocktails,Paul Lieberstein
3,19,The Negotiation,Michael Schur
3,20,Safety Training,B.J. Novak
4,1,Fun Run (Parts 1&2),Greg Daniels
4,3,Dunder Mifflin Infinity (Parts 1&2),Michael Schur
4,5,Launch Party (Parts 1&2),Jennifer Celotta
4,7,Money (Parts 1&2),Paul Lieberstein
4,9,Local Ad,B.J. Novak
4,10,Branch Wars,Mindy Kaling
4,11,Survivor Man,Steve Carell
4,12,The Deposition,Lester Lewis
4,14,Chair Model,B.J. Novak
4,15,Night Out,Mindy Kaling
5,3,Business Ethics,Ryan Koh
5,4,Baby Shower,Aaron Shure
5,5,Crime Aid,Charlie Grandy
5,6,Employee Transfer,Anthony Q. Farrell
5,7,Customer Survey,Lester Lewis
5,8,Business Trip,Brent Forrester
5,9,Frame Toby,Mindy Kaling
5,11,Moroccan Christmas,Justin Spitzer
5,12,The Duel,Jennifer Celotta
5,13,Prince Family Paper,B.J. Novak
5,14,Stress Relief (Parts 1&2),Paul Lieberstein
5,16,Lecture Circuit (Part 1),Mindy Kaling
5,17,Lecture Circuit (Part 2),Mindy Kaling
5,18,Blood Drive,Brent Forrester
5,19,Golden Ticket,Mindy Kaling
5,21,Two Weeks,Aaron Shure
5,22,Dream Team,B.J. Novak
5,23,The Michael Scott Paper Company,Justin Spitzer
5,24,Heavy Competition,Ryan Koh
5,25,Broke,Charlie Grandy
5,26,Casual Friday,Anthony Q. Farrell
6,1,Gossip,Paul Lieberstein
