year,month,day,hour,origin,dest,tailnum,carrier
2013,6,1,23,JFK,PSE,N618JB,B6
2013,6,1,5,EWR,CLT,N538UW,US
2013,6,1,5,EWR,IAH,N35407,UA
2013,6,1,5,LGA,IAH,N27724,UA
2013,6,1,5,JFK,BQN,N806JB,B6
2013,6,1,5,JFK,MIA,N5EAAA,AA
2013,6,1,6,EWR,RSW,N492UA,UA
2013,6,1,6,LGA,DFW,N3EUAA,AA
2013,6,1,6,LGA,PHL,N946UW,US
2013,6,1,6,JFK,IAD,N835AS,EV
2013,6,1,6,JFK,LAX,N33132,UA
2013,6,1,6,LGA,FLL,N562JB,B6
2013,6,1,6,LGA,MIA,N3BPAA,AA
2013,6,1,6,EWR,MCO,N648JB,B6
2013,6,1,6,JFK,SJU,N766JB,B6
2013,6,1,6,LGA,ATL,N687DL,DL
2013,6,1,6,EWR,MDW,N959WN,WN
2013,6,1,6,LGA,ATL,N353AT,FL
2013,6,1,6,EWR,MIA,N849UA,UA
2013,6,1,6,LGA,IAD,N820AS,EV
2013,6,1,6,EWR,FLL,N47414,UA
2013,6,1,6,JFK,SFO,N512UA,UA
2013,6,1,6,LGA,DTW,N363NB,DL
2013,6,1,6,LGA,PHL,N764US,US
2013,6,1,6,LGA,RDU,N852MQ,MQ
2013,6,1,6,EWR,PBI,N76505,UA
2013,6,1,6,LGA,MSP,N972DL,DL
2013,6,1,6,JFK,FLL,N638JB,B6
2013,6,1,6,EWR,LAX,N12218,UA
2013,6,1,6,EWR,IAD,N16151,EV
2013,6,1,6,JFK,CLT,N709UW,US
2013,6,1,6,EWR,MIA,N3ELAA,AA
2013,6,1,6,EWR,CLT,N108UW,US
2013,6,1,6,EWR,TPA,N17229,UA
2013,6,1,6,EWR,MCO,N475UA,UA
2013,6,1,6,JFK,MCO,N216JB,B6
2013,6,1,6,LGA,ORD,N4XPAA,AA
2013,6,1,6,EWR,SFO,N825UA,UA
2013,6,1,6,JFK,LAS,N565JB,B6
2013,6,1,6,LGA,CLT,N539UW,US
2013,6,1,6,LGA,MCO,N652JB,B6
2013,6,1,6,EWR,ORD,N9EAMQ,MQ
2013,6,1,6,EWR,HOU,N478WN,WN
2013,6,1,6,JFK,TPA,N593JB,B6
2013,6,1,6,EWR,ATL,N344NB,DL
2013,6,1,6,JFK,BUF,N317JB,B6
2013,6,1,6,LGA,STL,N8328A,WN
2013,6,1,6,JFK,ORD,N266JB,B6
2013,6,1,6,EWR,BOS,N12540,EV
2013,6,1,6,EWR,IND,N24128,EV
2013,6,1,6,JFK,PHX,N509AY,US
2013,6,1,6,JFK,SJU,N3ANAA,AA
2013,6,1,6,JFK,ATL,N945DL,DL
2013,6,1,6,EWR,BUF,N11547,EV
2013,6,1,6,EWR,CLT,N196UW,US
2013,6,1,6,JFK,RSW,N508JB,B6
2013,6,1,6,EWR,PHX,N642AW,US
2013,6,1,6,JFK,MSY,N632JB,B6
2013,6,1,6,EWR,CLE,N16987,EV
2013,6,1,6,JFK,PBI,N653JB,B6
2013,6,1,6,EWR,LAS,N37465,UA
2013,6,1,7,JFK,SFO,N713TW,DL
2013,6,1,6,LGA,ORD,N434UA,UA
2013,6,1,6,JFK,MCO,N5DCAA,AA
2013,6,1,7,JFK,LAS,N3FLAA,AA
2013,6,1,7,LGA,ATL,N680DA,DL
2013,6,1,6,EWR,DEN,N33289,UA
2013,6,1,7,JFK,SLC,N3736C,DL
2013,6,1,7,LGA,MCO,N339NW,DL
2013,6,1,7,LGA,MIA,N3FUAA,AA
2013,6,1,7,JFK,LAX,N789JB,B6
2013,6,1,7,EWR,MCO,N464UA,UA
2013,6,1,7,LGA,MDW,N8608N,WN
2013,6,1,7,EWR,ATL,N26141,EV
2013,6,1,7,EWR,IAH,N39461,UA
2013,6,1,6,EWR,PHX,N413UA,UA
2013,6,1,6,EWR,RDU,N15572,EV
2013,6,1,7,LGA,DTW,N349NB,DL
2013,6,1,7,LGA,FLL,N319US,DL
2013,6,1,7,LGA,IAH,N556UA,UA
2013,6,1,7,JFK,LAX,N704X,DL
2013,6,1,7,JFK,LAX,N641VA,VX
2013,6,1,7,JFK,MIA,N5FAAA,AA
2013,6,1,7,EWR,SEA,N590AS,AS
2013,6,1,7,LGA,PBI,N708JB,B6
2013,6,1,7,LGA,ORD,N589AA,AA
2013,6,1,7,EWR,BNA,N267WN,WN
2013,6,1,7,EWR,SJU,N559JB,B6
2013,6,1,7,JFK,LAX,N338AA,AA
2013,6,1,6,JFK,ATL,N976DL,DL
2013,6,1,7,EWR,SFO,N846VA,VX
2013,6,1,7,EWR,FLL,N75410,UA
2013,6,1,7,LGA,BNA,N417WN,WN
2013,6,1,7,JFK,JAX,N229JB,B6
2013,6,1,7,EWR,DEN,N963WN,WN
2013,6,1,7,LGA,DFW,N4YNAA,AA
2013,6,1,7,EWR,MKE,N13133,EV
2013,6,1,7,JFK,SEA,N723TW,DL
