season,week,game_type,quarter,quarter_type,home_team,home_full_name,home_division,home_conference,away_team,away_full_name,away_division,away_conference,home_team_score,away_team_score
2018,1,Regular season,1,Regulation,PHI,Philadelphia Eagles,East,NFC,ATL,Atlanta Falcons,South,NFC,0,3
2018,1,Regular season,2,Regulation,PHI,Philadelphia Eagles,East,NFC,ATL,Atlanta Falcons,South,NFC,3,6
2018,1,Regular season,3,Regulation,PHI,Philadelphia Eagles,East,NFC,ATL,Atlanta Falcons,South,NFC,10,6
2018,1,Regular season,4,Regulation,PHI,Philadelphia Eagles,East,NFC,ATL,Atlanta Falcons,South,NFC,18,12
2018,1,Regular season,1,Regulation,BAL,Baltimore Ravens,North,AFC,BUF,Buffalo Bills,East,AFC,14,0
2018,1,Regular season,2,Regulation,BAL,Baltimore Ravens,North,AFC,BUF,Buffalo Bills,East,AFC,26,0
2018,1,Regular season,3,Regulation,BAL,Baltimore Ravens,North,AFC,BUF,Buffalo Bills,East,AFC,40,3
2018,1,Regular season,4,Regulation,BAL,Baltimore Ravens,North,AFC,BUF,Buffalo Bills,East,AFC,47,3
2018,1,Regular season,1,Regulation,GB,Green Bay Packers,North,NFC,CHI,Chicago Bears,North,NFC,0,7
2018,1,Regular season,2,Regulation,GB,Green Bay Packers,North,NFC,CHI,Chicago Bears,North,NFC,0,17
2018,1,Regular season,3,Regulation,GB,Green Bay Packers,North,NFC,CHI,Chicago Bears,North,NFC,3,20
2018,1,Regular season,4,Regulation,GB,Green Bay Packers,North,NFC,CHI,Chicago Bears,North,NFC,24,23
2018,1,Regular season,1,Regulation,IND,Indianapolis Colts,South,AFC,CIN,Cincinnati Bengals,North,AFC,3,3
2018,1,Regular season,2,Regulation,IND,Indianapolis Colts,South,AFC,CIN,Cincinnati Bengals,North,AFC,16,10
2018,1,Regular season,3,Regulation,IND,Indianapolis Colts,South,AFC,CIN,Cincinnati Bengals,North,AFC,23,17
2018,1,Regular season,4,Regulation,IND,Indianapolis Colts,South,AFC,CIN,Cincinnati Bengals,North,AFC,23,34
2018,1,Regular season,1,Regulation,CAR,Carolina Panthers,South,NFC,DAL,Dallas Cowboys,East,NFC,0,0
2018,1,Regular season,2,Regulation,CAR,Carolina Panthers,South,NFC,DAL,Dallas Cowboys,East,NFC,10,0
2018,1,Regular season,3,Regulation,CAR,Carolina Panthers,South,NFC,DAL,Dallas Cowboys,East,NFC,10,0
2018,1,Regular season,4,Regulation,CAR,Carolina Panthers,South,NFC,DAL,Dallas Cowboys,East,NFC,16,8
2018,1,Regular season,1,Regulation,NE,New England Patriots,East,AFC,HOU,Houston Texans,South,AFC,7,3
2018,1,Regular season,2,Regulation,NE,New England Patriots,East,AFC,HOU,Houston Texans,South,AFC,21,6
2018,1,Regular season,3,Regulation,NE,New England Patriots,East,AFC,HOU,Houston Texans,South,AFC,24,13
2018,1,Regular season,4,Regulation,NE,New England Patriots,East,AFC,HOU,Houston Texans,South,AFC,27,20
2018,1,Regular season,1,Regulation,NYG,New York Giants,East,NFC,JAX,Jacksonville Jaguars,South,AFC,3,3
2018,1,Regular season,2,Regulation,NYG,New York Giants,East,NFC,JAX,Jacksonville Jaguars,South,AFC,6,13
2018,1,Regular season,3,Regulation,NYG,New York Giants,East,NFC,JAX,Jacksonville Jaguars,South,AFC,9,13
